用户: o0神之尽头0o [270832577]
来源歌单: o0神之尽头0o喜欢的音乐 [371024084]
目标歌单: 本地歌单 [18102697793]
执行时间: 2026-06-29T10:51:30.232Z
来源曲目: 752
云盘曲目: 1167
匹配待导入: 396
成功加入: 0
目标歌单原本已有而跳过: 344
云盘未匹配: 12
调用失败: 396
反向导入补偿: 开启

[失败清单]
1. 764. ComeBack音 [sourceSongId=413077052, targetSongId=413077052, code=0, message=unknown error]
80. 582. Legends Never Die [sourceSongId=506196018, targetSongId=506196018, code=0, message=unknown error]
81. 581. 红昭愿 [sourceSongId=452986458, targetSongId=452986458, code=0, message=unknown error]
82. 579. Something Just Like This [sourceSongId=461347998, targetSongId=461347998, code=0, message=unknown error]
83. 578. 眉间雪 [sourceSongId=29572090, targetSongId=29572090, code=0, message=unknown error]
84. 577. 沙漠寂寞 [sourceSongId=257972, targetSongId=257972, code=0, message=unknown error]
85. 576. Flight Of The Silverbird [sourceSongId=31654464, targetSongId=31654464, code=0, message=unknown error]
86. 575. Exodus [sourceSongId=1696336, targetSongId=1696336, code=0, message=unknown error]
87. 574. 飘雪 [sourceSongId=239023, targetSongId=239023, code=0, message=unknown error]
88. 573. 你是风儿我是沙(Kala) [sourceSongId=4878621, targetSongId=4878621, code=0, message=unknown error]
89. 572. 祝福 [sourceSongId=190328, targetSongId=190328, code=0, message=unknown error]
90. 571. 无愧于心 [sourceSongId=4878241, targetSongId=4878241, code=0, message=unknown error]
91. 570. 爱一个人好难 [sourceSongId=147258, targetSongId=147258, code=0, message=unknown error]
92. 569. gravityWall [sourceSongId=482999012, targetSongId=482999012, code=0, message=unknown error]
93. 567. 芙蓉雨 [sourceSongId=29032001, targetSongId=29032001, code=0, message=unknown error]
94. 566. 天天看到你 [sourceSongId=60267, targetSongId=60267, code=0, message=unknown error]
95. 565. 风筝误 [sourceSongId=32785674, targetSongId=32785674, code=0, message=unknown error]
96. 564. Human Legacy [sourceSongId=27570917, targetSongId=27570917, code=0, message=unknown error]
97. 563. 蓝色土耳其 [sourceSongId=189586, targetSongId=189586, code=0, message=unknown error]
98. 559. 反撃の時 [sourceSongId=405599366, targetSongId=405599366, code=0, message=unknown error]
99. 558. 执迷 [sourceSongId=29792788, targetSongId=29792788, code=0, message=unknown error]
100. 557. Far Away From Home [sourceSongId=4083399, targetSongId=4083399, code=0, message=unknown error]
101. 555. 偏爱 [sourceSongId=328076, targetSongId=328076, code=0, message=unknown error]
102. 554. Lonely [sourceSongId=21274655, targetSongId=21274655, code=0, message=unknown error]
103. 553. Heart Linked [sourceSongId=423058298, targetSongId=423058298, code=0, message=unknown error]
104. 552. 少女進化! [sourceSongId=27785067, targetSongId=27785067, code=0, message=unknown error]
105. 550. Burning [sourceSongId=3026472, targetSongId=3026472, code=0, message=unknown error]
106. 548. Overlap [sourceSongId=4981014, targetSongId=4981014, code=0, message=unknown error]
107. 546. 青花 [sourceSongId=189602, targetSongId=189602, code=0, message=unknown error]
108. 545. 一眼万年 [sourceSongId=375356, targetSongId=375356, code=0, message=unknown error]
109. 544. 轮回 [sourceSongId=416384874, targetSongId=416384874, code=0, message=unknown error]
110. 543. Best Friend [sourceSongId=625750, targetSongId=625750, code=0, message=unknown error]
111. 541. 桃花诺 [sourceSongId=480579393, targetSongId=480579393, code=0, message=unknown error]
112. 540. 精舞门 [sourceSongId=110477, targetSongId=110477, code=0, message=unknown error]
113. 539. Superman [sourceSongId=4873181, targetSongId=4873181, code=0, message=unknown error]
114. 538. 戏语花（Cover 《寒江雪》郑源） [sourceSongId=427609090, targetSongId=427609090, code=0, message=unknown error]
115. 537. 貂蝉 [sourceSongId=33789447, targetSongId=33789447, code=0, message=unknown error]
116. 536. 千里走单骑 [sourceSongId=33789452, targetSongId=33789452, code=0, message=unknown error]
117. 535. 舌战群儒 [sourceSongId=33789458, targetSongId=33789458, code=0, message=unknown error]
118. 534. 传奇 [sourceSongId=298838, targetSongId=298838, code=0, message=unknown error]
119. 533. 霸王别姬 [sourceSongId=5280110, targetSongId=5280110, code=0, message=unknown error]
120. 530. Dreams [sourceSongId=21274643, targetSongId=21274643, code=0, message=unknown error]
121. 529. 知心爱人 [sourceSongId=84054, targetSongId=84054, code=0, message=unknown error]
122. 528. 长是人千里 [sourceSongId=431794323, targetSongId=431794323, code=0, message=unknown error]
123. 527. Soviet March [sourceSongId=5042951, targetSongId=5042951, code=0, message=unknown error]
124. 524. Last Spring [sourceSongId=559172, targetSongId=559172, code=0, message=unknown error]
125. 522. Narcissus [sourceSongId=559180, targetSongId=559180, code=0, message=unknown error]
126. 520. 流れる雲よりもはやく (カラオケ) [sourceSongId=610820, targetSongId=610820, code=0, message=unknown error]
127. 519. 三日月だけ [sourceSongId=645988, targetSongId=645988, code=0, message=unknown error]
128. 517. Time after time - 花舞う街で - [sourceSongId=4988131, targetSongId=4988131, code=0, message=unknown error]
129. 516. 独角戏 [sourceSongId=307525, targetSongId=307525, code=0, message=unknown error]
130. 514. Man At Arms [sourceSongId=5137277, targetSongId=5137291, code=0, message=unknown error]
131. 513. 只对你有感觉 [sourceSongId=354620, targetSongId=354620, code=0, message=unknown error]
132. 512. 谢谢你的温柔 [sourceSongId=375090, targetSongId=375090, code=0, message=unknown error]
133. 511. 新窝 [sourceSongId=354549, targetSongId=354549, code=0, message=unknown error]
134. 509. 关不上的窗 [sourceSongId=406730432, targetSongId=406730432, code=0, message=unknown error]
135. 508. 相思 [sourceSongId=276294, targetSongId=276294, code=0, message=unknown error]
136. 507. 黯然销魂 [sourceSongId=30569561, targetSongId=30569561, code=0, message=unknown error]
137. 505. 分飞 [sourceSongId=308208, targetSongId=308208, code=0, message=unknown error]
138. 503. 万物生(国) [sourceSongId=286765, targetSongId=286765, code=0, message=unknown error]
139. 499. 海浪 [sourceSongId=94689, targetSongId=94689, code=0, message=unknown error]
140. 498. 我可以 [sourceSongId=65681, targetSongId=65681, code=0, message=unknown error]
141. 497. Brave Soul [sourceSongId=817454, targetSongId=817454, code=0, message=unknown error]
142. 496. 王子 [sourceSongId=191710, targetSongId=191710, code=0, message=unknown error]
143. 494. 不得了 [sourceSongId=215226, targetSongId=215226, code=0, message=unknown error]
144. 493. Love Love Love [sourceSongId=209750, targetSongId=209750, code=0, message=unknown error]
145. 492. 表白 [sourceSongId=307081, targetSongId=307081, code=0, message=unknown error]
146. 488. Grinder [sourceSongId=2637867, targetSongId=2637867, code=0, message=unknown error]
147. 487. 流年 [sourceSongId=299445, targetSongId=299445, code=0, message=unknown error]
148. 486. 不值得 [sourceSongId=366577, targetSongId=366577, code=0, message=unknown error]
149. 485. 囚鸟 [sourceSongId=282131, targetSongId=282131, code=0, message=unknown error]
150. 484. 别怕我伤心 [sourceSongId=186385, targetSongId=186385, code=0, message=unknown error]
151. 483. 想起 [sourceSongId=239026, targetSongId=239026, code=0, message=unknown error]
152. 482. Telephone [sourceSongId=21038470, targetSongId=21038470, code=0, message=unknown error]
153. 481. Strings Over the Mountain [sourceSongId=508093905, targetSongId=508093905, code=0, message=unknown error]
154. 480. Barricades [sourceSongId=482636088, targetSongId=1416229766, code=0, message=unknown error]
155. 479. MY ALL [sourceSongId=22737627, targetSongId=22737627, code=0, message=unknown error]
156. 478. 凝雨泪 [sourceSongId=537315234, targetSongId=537315234, code=0, message=unknown error]
157. 476. 左手指月 [sourceSongId=536096151, targetSongId=536096151, code=0, message=unknown error]
158. 474. 지금 이대로 [sourceSongId=409060166, targetSongId=409060166, code=0, message=unknown error]
159. 473. 둘이서 [sourceSongId=5341446, targetSongId=5341446, code=0, message=unknown error]
160. 471. 和平之月 [sourceSongId=31967080, targetSongId=31967080, code=0, message=unknown error]
161. 470. 完美世界 [主题版] [sourceSongId=26147216, targetSongId=26147216, code=0, message=unknown error]
162. 469. 月千一夜 [sourceSongId=640312, targetSongId=640312, code=0, message=unknown error]
163. 466. 有没有一首歌会让你想起我 [sourceSongId=189895, targetSongId=189895, code=0, message=unknown error]
164. 465. 处处吻 [sourceSongId=316686, targetSongId=316686, code=0, message=unknown error]
165. 464. Ya Not Ready [sourceSongId=28708949, targetSongId=28708949, code=0, message=unknown error]
166. 463. 未见青山老 [sourceSongId=453175619, targetSongId=453175619, code=0, message=unknown error]
167. 462. 金子陵 [sourceSongId=376994, targetSongId=376994, code=0, message=unknown error]
168. 460. 惊蛰 [sourceSongId=862099159, targetSongId=862099159, code=0, message=unknown error]
169. 457. 电台情歌 [sourceSongId=277822, targetSongId=277822, code=0, message=unknown error]
170. 456. Breath and Life [sourceSongId=3935139, targetSongId=3935139, code=0, message=unknown error]
171. 455. 榣山遗韵 [sourceSongId=26344109, targetSongId=26344109, code=0, message=unknown error]
172. 453. 山有木兮-橙光《人鱼传说之长生烛》主题曲 [sourceSongId=425100599, targetSongId=425100599, code=0, message=unknown error]
173. 452. Best of my Love [sourceSongId=26590305, targetSongId=26590305, code=0, message=unknown error]
174. 447. ひかり [sourceSongId=22685031, targetSongId=22685031, code=0, message=unknown error]
175. 445. 牵绊 [sourceSongId=28785472, targetSongId=28785472, code=0, message=unknown error]
176. 444. Apollo's Triumph (Paul Dinletir Remix) [sourceSongId=29809102, targetSongId=29809102, code=0, message=unknown error]
177. 443. 如果云知道 [sourceSongId=307514, targetSongId=5242860, code=0, message=unknown error]
178. 442. 你 [sourceSongId=151142, targetSongId=151142, code=0, message=unknown error]
179. 440. 仙境 [sourceSongId=31544858, targetSongId=31544858, code=0, message=unknown error]
180. 438. Exodus [sourceSongId=26115977, targetSongId=26115977, code=0, message=unknown error]
181. 436. 当爱已成往事 [sourceSongId=26620756, targetSongId=26620756, code=0, message=unknown error]
182. 435. Friendships [sourceSongId=505449407, targetSongId=505449407, code=0, message=unknown error]
183. 434. エミヤ ~無元の剣製~ [sourceSongId=548145491, targetSongId=548145491, code=0, message=unknown error]
184. 433. 天命风流 [sourceSongId=27506267, targetSongId=27506267, code=0, message=unknown error]
185. 431. 把孤独当做晚餐 [sourceSongId=1379456709, targetSongId=1379456709, code=0, message=unknown error]
186. 427. 命 映画ﾊﾞｰｼﾞｮﾝ [sourceSongId=413312, targetSongId=413312, code=0, message=unknown error]
187. 426. Vicetone-黑人抬棺古风（litterzy remix） [sourceSongId=1442954062, targetSongId=1442954062, code=0, message=unknown error]
188. 425. 镜湖 [sourceSongId=174540, targetSongId=174540, code=0, message=unknown error]
189. 424. ERENthe標 [sourceSongId=482633121, targetSongId=482633121, code=0, message=unknown error]
190. 423. 浩瀚 [sourceSongId=29774166, targetSongId=29774166, code=0, message=unknown error]
191. 421. 菩提偈 [sourceSongId=545350958, targetSongId=545350958, code=0, message=unknown error]
192. 420. 绝对是个梦 [sourceSongId=295492, targetSongId=295492, code=0, message=unknown error]
193. 419. 姜氏孤儿 [sourceSongId=4875331, targetSongId=4875331, code=0, message=unknown error]
194. 418. 吻别 [sourceSongId=190449, targetSongId=190449, code=0, message=unknown error]
195. 417. 最,最,最強!!!(H43) [sourceSongId=28707741, targetSongId=28707741, code=0, message=unknown error]
196. 416. 千年の祈り [sourceSongId=26178041, targetSongId=26178041, code=0, message=unknown error]
197. 415. 梦太晚 [sourceSongId=28643048, targetSongId=28643048, code=0, message=unknown error]
198. 413. 处处傻 [sourceSongId=1434760048, targetSongId=1434760048, code=0, message=unknown error]
199. 412. 心愿 [sourceSongId=203787, targetSongId=203787, code=0, message=unknown error]
200. 411. MADARA vs NARUTO [sourceSongId=529181, targetSongId=529181, code=0, message=unknown error]
201. 409. 迷仙引 [sourceSongId=203741, targetSongId=203741, code=0, message=unknown error]
202. 407. DEJA VU (EXTENDED MIX) [sourceSongId=1364973839, targetSongId=1364973839, code=0, message=unknown error]
203. 406. 花太香 [sourceSongId=144161, targetSongId=543965367, code=0, message=unknown error]
204. 404. 寂寞沙洲冷 [sourceSongId=189688, targetSongId=189688, code=0, message=unknown error]
205. 403. 轮回 [sourceSongId=25873214, targetSongId=25873214, code=0, message=unknown error]
206. 402. 只要有你 [sourceSongId=4878242, targetSongId=4878242, code=0, message=unknown error]
207. 401. 少年 [sourceSongId=1438116717, targetSongId=1438116717, code=0, message=unknown error]
208. 400. 破茧 [sourceSongId=1450709807, targetSongId=1450709807, code=0, message=unknown error]
209. 398. 战斗-通往胜利 [sourceSongId=32737993, targetSongId=32737993, code=0, message=unknown error]
210. 397. 冷酷到底 [sourceSongId=390962, targetSongId=390962, code=0, message=unknown error]
211. 395. 国风登陆 [sourceSongId=28481969, targetSongId=28481969, code=0, message=unknown error]
212. 393. 峨眉山 [sourceSongId=174524, targetSongId=174524, code=0, message=unknown error]
213. 392. 緋文字 [sourceSongId=530459, targetSongId=530459, code=0, message=unknown error]
214. 391. 角都 [sourceSongId=530408, targetSongId=530408, code=0, message=unknown error]
215. 390. 梦的光点 [sourceSongId=297791, targetSongId=297791, code=0, message=unknown error]
216. 389. 单飞 [sourceSongId=244959, targetSongId=244959, code=0, message=unknown error]
217. 388. Cyberangel [sourceSongId=1375725396, targetSongId=1375725396, code=0, message=unknown error]
218. 387. Boulevard Of Broken Dreams [sourceSongId=5159464, targetSongId=5159464, code=0, message=unknown error]
219. 385. Moonlight~Farewell [sourceSongId=817589, targetSongId=817589, code=0, message=unknown error]
220. 384. Everybody (Backstreet's Back) [sourceSongId=16835302, targetSongId=16835302, code=0, message=unknown error]
221. 383. Yasuo（亚索）面对疾风吧！ [sourceSongId=502678329, targetSongId=502678329, code=0, message=unknown error]
222. 382. Destiny [sourceSongId=657445, targetSongId=657445, code=0, message=unknown error]
223. 381. 巨大要塞、発進!! [sourceSongId=29178356, targetSongId=529678, code=0, message=unknown error]
224. 380. 下个, 路口, 见 [sourceSongId=254285, targetSongId=254285, code=0, message=unknown error]
225. 379. 月光 [sourceSongId=4873065, targetSongId=4873065, code=0, message=unknown error]
226. 378. 红颜 [sourceSongId=93213, targetSongId=93213, code=0, message=unknown error]
227. 377. 月色与雪色之间，你是第三种绝色。 [sourceSongId=535612106, targetSongId=535612106, code=0, message=unknown error]
228. 375. Mad World [sourceSongId=1343445130, targetSongId=1343445130, code=0, message=unknown error]
229. 374. China·少侠·隐怀 [sourceSongId=453114638, targetSongId=453114638, code=0, message=unknown error]
230. 373. 高潔なる教皇 [sourceSongId=30482372, targetSongId=30482372, code=0, message=unknown error]
231. 372. Dangerous [sourceSongId=21178422, targetSongId=21178422, code=0, message=unknown error]
232. 370. 穿越人海 [sourceSongId=191183, targetSongId=191183, code=0, message=unknown error]
233. 368. Vater Unser [sourceSongId=2534965, targetSongId=2534965, code=0, message=unknown error]
234. 367. 少年情 [sourceSongId=203789, targetSongId=203789, code=0, message=unknown error]
235. 366. 明天过后 [sourceSongId=191248, targetSongId=191248, code=0, message=unknown error]
236. 365. 仰望星空 [sourceSongId=191268, targetSongId=191268, code=0, message=unknown error]
237. 363. Right Now (Na Na Na) [sourceSongId=16375205, targetSongId=16375205, code=0, message=unknown error]
238. 361. 左边 [sourceSongId=22740077, targetSongId=22740077, code=0, message=unknown error]
239. 360. 一直很安静 [sourceSongId=4875309, targetSongId=4875309, code=0, message=unknown error]
240. 358. 但愿人长久 [sourceSongId=299714, targetSongId=299714, code=0, message=unknown error]
241. 357. Call of Silence x YouSeeBIGGIRL [sourceSongId=496507504, targetSongId=496507504, code=0, message=unknown error]
242. 356. Brave Shine [sourceSongId=32358691, targetSongId=32358691, code=0, message=unknown error]
243. 355. 黄种人 [sourceSongId=168324, targetSongId=168324, code=0, message=unknown error]
244. 350. 剑魂（Cover 李炜） [sourceSongId=508301962, targetSongId=508301962, code=0, message=unknown error]
245. 349. Shots (Broiler Remix) [sourceSongId=31311695, targetSongId=31311695, code=0, message=unknown error]
246. 348. 暧昧 [sourceSongId=27591608, targetSongId=27591608, code=0, message=unknown error]
247. 347. 紫藤花 [sourceSongId=375308, targetSongId=375308, code=0, message=unknown error]
248. 346. 酒中仙 [sourceSongId=1414044473, targetSongId=1414044473, code=0, message=unknown error]
249. 345. Grace [sourceSongId=528423473, targetSongId=528423473, code=0, message=unknown error]
250. 343. Verdict for worst dictator [sourceSongId=35779201, targetSongId=35779201, code=0, message=unknown error]
251. 342. 一吻天荒 [sourceSongId=391566, targetSongId=391566, code=0, message=unknown error]
252. 341. 爱的供养 [sourceSongId=393335, targetSongId=393335, code=0, message=unknown error]
253. 340. 空空如也 [sourceSongId=526464293, targetSongId=526464293, code=0, message=unknown error]
254. 339. 天下 [sourceSongId=191254, targetSongId=191254, code=0, message=unknown error]
255. 336. 淋雨一直走 [sourceSongId=25640392, targetSongId=25640392, code=0, message=unknown error]
256. 335. 欧若拉 [sourceSongId=327157, targetSongId=327157, code=0, message=unknown error]
257. 334. 寓言 [sourceSongId=327208, targetSongId=327208, code=0, message=unknown error]
258. 333. 爱江山更爱美人 [sourceSongId=256469, targetSongId=256469, code=0, message=unknown error]
259. 332. 月满西楼 [sourceSongId=5280196, targetSongId=5280196, code=0, message=unknown error]
260. 331. 童话 [sourceSongId=85580, targetSongId=85580, code=0, message=unknown error]
261. 330. 约定 [sourceSongId=85540, targetSongId=85540, code=0, message=unknown error]
262. 329. Eutopia [sourceSongId=29129889, targetSongId=29129889, code=0, message=unknown error]
263. 326. Into The Sun [sourceSongId=32477986, targetSongId=37095739, code=0, message=unknown error]
264. 325. Beyond Limits [sourceSongId=28055132, targetSongId=28055132, code=0, message=unknown error]
265. 324. Intro [sourceSongId=4017240, targetSongId=4017240, code=0, message=unknown error]
266. 321. 就让你走 [sourceSongId=69819, targetSongId=69819, code=0, message=unknown error]
267. 320. Nemo [sourceSongId=21312263, targetSongId=21312263, code=0, message=unknown error]
268. 318. 杨花落尽子规啼 [sourceSongId=1375935067, targetSongId=1375935067, code=0, message=unknown error]
269. 316. 中国人 [sourceSongId=111274, targetSongId=110255, code=0, message=unknown error]
270. 315. Dearest [sourceSongId=22737855, targetSongId=22737855, code=0, message=unknown error]
271. 313. Memories [sourceSongId=4424930, targetSongId=4424930, code=0, message=unknown error]
272. 312. 风云之歌 [sourceSongId=201883, targetSongId=201883, code=0, message=unknown error]
273. 311. Born a Champion [sourceSongId=32785401, targetSongId=32785401, code=0, message=unknown error]
274. 310. 为你铭刻 [sourceSongId=1858166162, targetSongId=1858166162, code=0, message=unknown error]
275. 309. Be My Babe [sourceSongId=27623202, targetSongId=27623202, code=0, message=unknown error]
276. 308. 兰陵王入阵曲 [sourceSongId=1436727001, targetSongId=1436727001, code=0, message=unknown error]
277. 307. 冯虚御风 [sourceSongId=1385635545, targetSongId=1385635545, code=0, message=unknown error]
278. 306. 红色石头 [sourceSongId=135728, targetSongId=135728, code=0, message=unknown error]
279. 305. 鹤形 [sourceSongId=169086, targetSongId=169086, code=0, message=unknown error]
280. 304. 対峙 [sourceSongId=532004, targetSongId=532004, code=0, message=unknown error]
281. 302. 孽海记 [sourceSongId=1370879975, targetSongId=1370879975, code=0, message=unknown error]
282. 301. 缘尽世间 [sourceSongId=33756650, targetSongId=33756650, code=0, message=unknown error]
283. 300. That Girl [sourceSongId=440208476, targetSongId=440208476, code=0, message=unknown error]
284. 299. Summertime Sadness [sourceSongId=28240525, targetSongId=28240525, code=0, message=unknown error]
285. 298. voice [sourceSongId=4981006, targetSongId=4981006, code=0, message=unknown error]
286. 297. 江南 [sourceSongId=26305527, targetSongId=26305527, code=0, message=unknown error]
287. 296. 宁夏 [sourceSongId=254265, targetSongId=254265, code=0, message=unknown error]
288. 295. 第一次 [sourceSongId=85621, targetSongId=85621, code=0, message=unknown error]
289. 294. Matsuri [sourceSongId=29281450, targetSongId=29281450, code=0, message=unknown error]
290. 293. unlasting [sourceSongId=1397725153, targetSongId=1397725153, code=0, message=unknown error]
291. 292. 你的第一 [sourceSongId=4875519, targetSongId=4875519, code=0, message=unknown error]
292. 291. 放开 [sourceSongId=343031, targetSongId=343031, code=0, message=unknown error]
293. 290. A New Day Has Come [sourceSongId=2309212, targetSongId=2309212, code=0, message=unknown error]
294. 289. Outside [sourceSongId=29561077, targetSongId=29561077, code=0, message=unknown error]
295. 288. Salt [sourceSongId=1480204501, targetSongId=1480204501, code=0, message=unknown error]
296. 287. 外滩十八号 [sourceSongId=369126, targetSongId=369126, code=0, message=unknown error]
297. 285. 至少还有你 [sourceSongId=256468, targetSongId=256468, code=0, message=unknown error]
